Found 77 mutants to test
ok       Unmutated baseline in 59s build + 9s test
MISSED   crates/logos-store-aletheia/src/read.rs:29:9: replace AletheiaStore::correction_count -> usize with 1 in 3s build + 8s test
MISSED   crates/logos-store-aletheia/src/read.rs:34:9: replace AletheiaStore::has_transaction -> bool with true in 1s build + 9s test
MISSED   crates/logos-store-aletheia/src/read.rs:43:9: replace AletheiaStore::transactions -> impl Iterator<Item =&StoredTransaction>+'_ with ::std::iter::empty() in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:57:9: replace AletheiaStore::budget_targets -> impl Iterator<Item =&StoredBudgetTarget>+'_ with ::std::iter::empty() in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:71:9: replace AletheiaStore::analytics_artifacts -> impl Iterator<Item =&StoredAnalyticsArtifactManifest>+'_ with ::std::iter::empty() in 2s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:76:9: replace AletheiaStore::import_record_count -> usize with 1 in 1s build + 9s test
MISSED   crates/logos-store-aletheia/src/read.rs:81:9: replace AletheiaStore::has_import_record_content_hash -> bool with true in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:85:9: replace AletheiaStore::import_records -> impl Iterator<Item =&StoredImportRecord>+'_ with ::std::iter::empty() in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:89:9: replace AletheiaStore::import_batches -> impl Iterator<Item =&StoredImportBatch>+'_ with ::std::iter::empty() in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:94:9: replace AletheiaStore::statement_line_count -> usize with 1 in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:128:9: replace AletheiaStore::reconciliation_runs -> impl Iterator<Item =&StoredReconciliationRun>+'_ with ::std::iter::empty() in 1s build + 11s test
MISSED   crates/logos-store-aletheia/src/read.rs:138:9: replace AletheiaStore::month_close -> Option<&StoredMonthClose> with None in 1s build + 9s test
MISSED   crates/logos-store-aletheia/src/read.rs:154:9: replace AletheiaStore::month_closes -> impl Iterator<Item =&StoredMonthClose>+'_ with ::std::iter::empty() in 1s build + 9s test
MISSED   crates/logos-store-aletheia/src/read.rs:182:9: replace AletheiaStore::transactions_as_of_us -> Result<Vec<StoredTransaction>, StoreError> with Ok(vec![]) in 2s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:231:9: replace AletheiaStore::current_projection_without_superseded -> Vec<StoredTransaction> with vec![] in 2s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:241:30: delete ! in AletheiaStore::current_projection_without_superseded in 2s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:278:5: replace has_visible_supersedes_edge -> Result<bool, StoreError> with Ok(true) in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:310:12: delete ! in reconstruct_transaction_at_as_of in 1s build + 9s test
MISSED   crates/logos-store-aletheia/src/read.rs:354:23: replace match guard is_node_not_visible(&error) with true in get_node_at_as_of in 1s build + 10s test
MISSED   crates/logos-store-aletheia/src/read.rs:366:23: replace match guard is_edge_not_visible(&error) with true in get_edge_at_as_of in 1s build + 9s test
